Bench mbasis
nbits=30, prime=781683761
n	rdim	cdim	order	deg	time
~~~~WARMUP~~~~
NEW	1	16	32	32	0.000013

I	16	8	32	32	0.013973
II	16	8	32	32	0.007736
III	16	8	32	32	0.005206
IV	16	8	32	32	0.006360
V	16	8	32	32	0.008345
NEW	16	8	32	32	0.004264

I	8	16	32	32	0.001563
II	8	16	32	32	0.003004
III	8	16	32	32	0.000997
IV	8	16	32	32	0.001279
V	8	16	32	32	0.003183
NEW	8	16	32	32	0.000032

I	16	15	32	32	0.008650
II	16	15	32	32	0.007244
III	16	15	32	32	0.003029
IV	16	15	32	32	0.003703
V	16	15	32	32	0.007968
NEW	16	15	32	32	0.007040

I	15	16	32	32	0.003402
II	15	16	32	32	0.006671
III	15	16	32	32	0.001916
IV	15	16	32	32	0.002750
V	15	16	32	32	0.007544
NEW	15	16	32	32	0.000073

I	16	1	64	64	0.003817
II	16	1	64	64	0.005057
III	16	1	64	64	0.004191
IV	16	1	64	64	0.016255
V	16	1	64	64	0.016382
NEW	16	1	64	64	0.001858

I	1	16	64	64	0.000739
II	1	16	64	64	0.001246
III	1	16	64	64	0.000684
IV	1	16	64	64	0.001019
V	1	16	64	64	0.001291
NEW	1	16	64	64	0.000020

I	16	8	64	64	0.046931
II	16	8	64	64	0.024462
III	16	8	64	64	0.015719
IV	16	8	64	64	0.023961
V	16	8	64	64	0.031105
NEW	16	8	64	64	0.015500

I	8	16	64	64	0.005731
II	8	16	64	64	0.013257
III	8	16	64	64	0.003808
IV	8	16	64	64	0.004854
V	8	16	64	64	0.013076
NEW	8	16	64	64	0.000057

I	16	15	64	64	0.028912
II	16	15	64	64	0.029161
III	16	15	64	64	0.009992
IV	16	15	64	64	0.014194
V	16	15	64	64	0.031973
NEW	16	15	64	64	0.025973

I	15	16	64	64	0.010441
II	15	16	64	64	0.026914
III	15	16	64	64	0.006246
IV	15	16	64	64	0.009842
V	15	16	64	64	0.029819
NEW	15	16	64	64	0.000142

I	32	1	4	4	0.000460
II	32	1	4	4	0.000492
III	32	1	4	4	0.000447
IV	32	1	4	4	0.000678
V	32	1	4	4	0.000644
NEW	32	1	4	4	0.000237

I	1	32	4	4	0.000032
II	1	32	4	4	0.000022
III	1	32	4	4	0.000016
IV	1	32	4	4	0.000019
V	1	32	4	4	0.000022
NEW	1	32	4	4	0.000004

I	32	16	4	4	0.002297
II	32	16	4	4	0.001779
III	32	16	4	4	0.001313
IV	32	16	4	4	0.001051
V	32	16	4	4	0.001450
NEW	32	16	4	4	0.000862

I	16	32	4	4	0.000475
II	16	32	4	4	0.000422
III	16	32	4	4	0.000254
IV	16	32	4	4	0.000282
V	16	32	4	4	0.000459
NEW	16	32	4	4	0.000061

I	32	31	4	4	0.001768
II	32	31	4	4	0.001812
III	32	31	4	4	0.001033
IV	32	31	4	4	0.000964
V	32	31	4	4	0.001754
NEW	32	31	4	4	0.001501

I	31	32	4	4	0.001147
II	31	32	4	4	0.001698
III	31	32	4	4	0.000779
IV	31	32	4	4	0.000812
V	31	32	4	4	0.001675
NEW	31	32	4	4	0.000168

I	32	1	8	8	0.000897
II	32	1	8	8	0.001027
III	32	1	8	8	0.000849
IV	32	1	8	8	0.001577
V	32	1	8	8	0.001629
