Bench polynomial matrix multiplication (FFT prime)
p = 786433  (FFT prime, bit length = 20)
size,degree,ntlx,linbox,ratio(ntlx/linbox)
8,60,0.00179668,0.01097836,0.16365647
8,120,0.00536098,0.01131648,0.47373221
8,250,0.00559292,0.01653392,0.33826955
8,510,0.00958988,0.02808374,0.34147442
8,1020,0.01817628,0.05377210,0.33802433
8,2040,0.03853345,0.09840294,0.39158839
8,4090,0.08077693,0.19510495,0.41401785
8,8190,0.17849788,0.39039544,0.45722327
8,16380,0.37198077,0.78333654,0.47486712
8,32760,0.76793271,1.61389325,0.47582621
8,131070,3.45613101,6.94908335,0.49735063
16,30,0.00222261,0.01605103,0.13847126
16,60,0.00563032,0.01518976,0.37066578
16,120,0.00973557,0.02559205,0.38041378
16,250,0.01842607,0.04449388,0.41412594
16,510,0.03786551,0.09202783,0.41145720
16,1020,0.08022332,0.16720054,0.47980302
16,2040,0.17565804,0.33181645,0.52938315
16,4090,0.36643096,0.67384236,0.54379330
16,8190,0.76299707,1.36676376,0.55825088
16,16380,1.55713764,3.02143999,0.51536275
16,32760,3.22237764,7.14930215,0.45072618
16,131070,14.46980379,31.40637406,0.46072825
32,30,0.00868872,0.03674048,0.23648909
32,60,0.01739132,0.05002548,0.34764921
32,120,0.03478729,0.07933692,0.43847536
32,250,0.07582343,0.15794139,0.48007318
32,510,0.15952328,0.31855192,0.50077639
32,1020,0.32812867,0.62898996,0.52167553
32,2040,0.67876400,1.30482302,0.52019621
32,4090,1.41020996,2.80160943,0.50335709
32,8190,2.92351789,6.62504568,0.44128268
32,16380,6.16284629,13.53446603,0.45534462
32,32760,12.65128139,26.76120280,0.47274711
64,30,0.13879208,0.08540395,1.62512476
64,60,0.08948927,0.15259174,0.58646211
64,120,0.18131032,0.31183285,0.58143433
64,250,0.36464849,0.63272300,0.57631616
64,510,0.77245082,1.26957912,0.60843063
64,1020,1.64786935,3.04937529,0.54039572
64,2040,3.49018870,6.40672032,0.54476995
64,4090,7.41018642,13.26296966,0.55871246
64,8190,15.36767142,26.62235956,0.57724678
128,30,0.58754055,0.39261235,1.49649023
128,60,0.79731543,0.72781620,1.09549009
128,120,1.59004919,1.62449337,0.97879697
128,250,1.99045297,3.29513587,0.60405793
128,510,4.27905179,7.02499149,0.60911843
128,1020,9.03918480,14.47017569,0.62467692
128,2040,19.17903849,29.66791475,0.64645725
256,30,2.59406102,1.55494410,1.66826642
256,60,3.64400290,3.25907317,1.11811018
256,120,7.41221155,6.98045185,1.06185269
256,250,15.59859182,14.59496749,1.06876510
256,510,26.55313343,30.21479890,0.87881218
512,30,11.89903643,7.34952962,1.61902013
